reviewId,content,score
ebb95b55-4eda-41e7-9bd2-21c12c369833,Nice,5
2c33a0db-2a47-4a07-8aa0-588c32071099,Why you removed chatting with Ai feature? Please re add it with old messages.,4
9c79ed33-cf16-4473-b9b3-4ca4a16ea054,1k❤️❤️❤️,5
208ec9df-262a-46fc-a884-85b0a4280cab,Bad,1
225970a8-6adb-4bc8-a1d6-fb25ea3cc003,Life only instgram,5
04e27f6f-be1c-49e9-8eb6-0d0288512345,Superrr,5
6931e389-e844-4cb6-b57f-48aeb378491a,Its a good app,4
d2773a32-288f-400b-9483-6507c4e47792,Thanks for supporting,5
de1bdcba-d3bb-4d6b-a8a7-5379cb21cd26,Fantastic 😍😍😍,4
486b39c5-452d-43db-bdf2-8176a6beb4b8,My favourite app,5
f158c156-dbc0-4f01-a5c3-fbf1c6ad0a2d,Very good application for Instagram and Facebook page we are not able and videography services for Instagram,5
6fe41d5d-7b8c-4cce-a90f-30c990a7e9e0,Meri girlfriend kisi se Mili,5
65131c0a-a56b-4fa5-9b2b-8f7de839f7c4,free fire Lover 😉,5
8d2c350d-7541-4dd4-a2ff-04aaed6f6ca4,Indtaga,5
ea5be848-0ffa-42a1-aa50-34ddac771391,Mast time pass ha,4
623b1b5f-d18b-41c1-8777-642a9ea06e56,Thakurji ❤️😍💯💖💕💖 rohit Kumar block 9263,5
bfd9f74f-79b6-4a2f-8649-1c45662d4321,Authentic,5
52bbb7b7-c470-4ef6-b63c-1d92c9c00def,Instagram open,5
748525e5-82cb-4ec6-9b61-d48616aef5c2,I like instagram,5
9785b9cc-e7a0-4a7b-93c5-9afacb6b0952,Nice 👍👍👍👍,5
17ec10ed-0011-4aa2-ad98-ee7ec8bf4364,Amaxing,5
161734e3-ae35-4898-a6d1-8fe8bf65ee8f,Nice to have lnstagram I love you thanks,5
13d4194e-aa5a-4c70-b9c1-6ece45ba9ce9,Gatiya app hai koi girl msg nahi karti,5
8dff1c7a-7ca4-48b3-bf30-1ad41cf631d6,No music,1
28c158b3-7abd-4297-aa0d-af4573ccda20,👍,3
552755c0-8eea-4ad2-b66c-2c209477b103,❤️🙌🏻,5
9a9e1ba3-ed6a-448c-9cf3-8797334b06b7,Very nice app in bis World,5
5d5bb3ab-2a63-4bac-aade-c2d188ad879d,Good app,5
939d33ee-1763-49cf-8851-a3735ff1a1d7,My life line 💗💗😊🥰 please follow me,5
3dcc54a3-fcc6-460b-ad86-7dd2a621ca35,Number one for all relative 😀,5
58bb4cf7-71a6-4361-a2a1-1712de501b4f,Good qualities from any other social media app the feature of unsend message cleared permanently are the other user have no message that you sand any message,5
ada4d36d-c36e-41e2-bec2-d8746b0d9f04,Best app,5
4943666c-8735-4560-a47e-dd8ded021844,Niraj Kumar,5
1f51e2e3-2c0f-4728-97c1-6e845ca9611d,Dito ako palagi mag online kaya ano pa inantay niyo download niyo na,5
02e7b11b-e4cb-4b51-aa67-74d82dd4a63c,great,5
d24ea130-b990-45ab-b20f-37e1ff6b1c5a,Best,5
a1c8d255-593b-4c33-a296-d4c0d90bdea1,I like this apps check know everyone improved know everyone,5
01bda468-3ebc-44b6-b867-462c3e77219a,Thanks for Instagram 🥰🥰,5
fdebfc96-c51c-46ba-a6b3-b8a44c95c9d5,nice,5
533ec422-bbb1-470f-a208-1e231a847c7e,Good,5
a3279694-aeeb-4b90-9ff0-9f49b1613df8,❤️ brilliant app,4
2c895301-8635-4c76-bcba-df14c1d523cc,Very nice application Understand is my mood I like 👍 instagram application Thank you instagram team,5
5fa3482a-8362-48a2-bf56-4148db852e01,Enjoy,5
f8e6ea48-ed46-479a-adad-6c544a08fbab,Mujhe Instagram chalana hai,5
02d98c39-ba3d-4b5e-b849-11209dfd5e9d,Nice,5
e6d16527-d414-45e2-a1b1-69011ccafbd3,SageerKhan,5
13c70d1c-79ff-4112-89d3-ae765a5cab82,Nice aap 🥰,5
435b01c0-69fc-47af-a2bf-0d4230a01ea3,osm,5
66782259-cc31-4655-93c0-e5dda9efbcd1,They keep changing stuff as they please,1
1ab8f5be-79df-4408-bd99-6bbe77ae334e,Uploading vedio is not clear,1
ce780cb4-3c5d-4171-af57-672846c41f02,Please ritched my account,4
8f33ca43-32bc-46e3-aed7-0f204af41ffa,Nice app .Love it 🤗,5
ba2712c1-8a30-4e7f-b6a9-2ea4ba00484e,This the world's best social media app I really like this and wish that instagram will be world's no. 1 app.,5
a5dc6801-137e-4146-a173-a55a1556722d,🥰🥰😍😝🤪😛🫣😶‍🌫️🤐🤨😐🤪🤪🤪😘😊😇🥲🥲💝💗❤️‍🩹💚❤️‍🔥❤️‍🩹🤎💙💚💯💢🗯👌🫸🫷💫,5
77dbe0b9-c2ad-402e-ab37-6ca71c3cf27a,Motamoti name onake valo a app thana taka income Kora jai,4
b8e0c796-0815-4597-90e3-e5fc0de9131d,It's fire,5
de0cb49a-28ed-42d2-ba1f-34ffe4eadb31,I don't like social media😜,2
d7de4e22-ef67-4eac-a3fc-d4dceef65a0a,"Made an account, immediately got suspended over not following 'authentic identity' guidelines. What?? So if i dont have my face on my account i dont get to have one?? The record a video feature doesnt work either. Why am i being forced to show my face? This has never happened to me on the old Instagram. Creepy.",1
1847a235-7267-4c1e-a673-c441ed3980c3,John Cena . Mrs tult & and kl $) a om,4
aa733798-f504-4686-80a2-61faf60295ed,Please give me followers and views,5
517634e8-7d01-49a6-b449-e94bafca7952,only time is wasted,1
6a2c85d0-519a-4f05-8dc4-5e93ac80a0ec,Nice and this aap is so ameging for avrithing and 👍（＞ｙ＜）(≧∇≦)/ヽ(*≧ω≦)ﾉヽ(*⌒∇⌒*)ﾉヽ(*≧ω≦)ﾉヽ(*⌒∇⌒*)ﾉＯ(≧∇≦)Ｏ(☆^ー^☆)(☆^ー^☆)Ｏ(≧∇≦)Ｏ(☆^ー^☆)Ｏ(≧∇≦)Ｏヽ(*⌒∇⌒*)ﾉＯ(≧∇≦)ＯＯ(≧∇≦)Ｏヽ(*⌒∇⌒*)ﾉ(≧∇≦)/Ｏ(≧∇≦)Ｏ(*^▽^*)Ｏ(≧∇≦)Ｏ(☆^ー^☆)ヽ(*⌒∇⌒*)ﾉヽ(*≧ω≦)ﾉヽ(*⌒∇⌒*)ﾉ(*^▽^*)Ｏ(≧∇≦)Ｏ(☆^ー^☆)Ｏ(≧∇≦)Ｏ(☆^ー^☆)(☆^ー^☆)Ｏ(≧∇≦)Ｏ(☆^ー^☆)Ｏ(≧∇≦)Ｏ(☆^ー^☆)😥😪😥😌😪😣🙄🤔🤡🤔🤔🤥😐🤥😥😤😖😤😬😖😬😸😻😻😸👾😾🙉😾🙉😾🙊😾🙊😾🙍🏿👩‍❤️‍👩💑👩‍❤️‍👩👩‍❤️‍👨👩‍❤️‍👩👩‍❤️‍👨👩‍❤️‍💋‍👨👩‍❤️‍👩💑👨‍👨‍👦👨‍👨‍👦💑🤮🧐🧐🤮🤮🤭👢👞👢🧠🧤🧥🧡🧘‍♂️🧡🧤🧠🧤🧠🧤,5
0cdd7bcb-6327-4b32-b577-3ba7ca7b0086,ummid hai ye sabse achcha aap hai aapke liyen mere liyen hum sabke liyen,5
0e4e6e84-e3fa-45c0-ada8-0d09cb733dba,-kotesh_,2
58d8d2da-2bbf-46a9-ab00-8369c290718f,"Too many ads. No matter how many advertisers I block, more & more keep showing up like weeds in a garden. They are unwanted spam & will be reported as such. Get rid of the ads, nobody wants to see them. 🤬",1
39c40f64-767d-4664-914c-ac845316300e,So you can do that for me kashe me 👿,5
b461aa57-330e-4bce-a979-0611cd866f99,Good 👍👍,5
